Student_ID,College,Major,Class_Year,GPA,Credits_Attempted,Credits_Earned,Enrollment_Date
LU100069,P.C. Rossin College of Engineering,Bioengineering,Graduate,3.88,21,19,2024-09-03
LU100070,Business,Accounting,Freshman,2.84,18,17,"August 25, 2024"
LU100071,College of Business,  Business Analytics  ,Sophomore,2.91 ,44,,2023-08-17
LU100072,  College of Business  ,Economics,  junior  ,3.18,82,71,11/01/2022
LU100073,College of Arts and Sciences,History,2nd Year,3.43,43,41,2023-08-12
LU100074,  Education  ,Secondary Education,Senior,2.98,125,114,2021-01-27
LU100075,College of Health,Nursing,Senior,3.44,123,116,2021-01-26
LU100076,College of Health,Nursing,Sophomore,,44,41,2023-09-11
LU100077,Health College,Public Health,First Year,3.5,26,25,2024-08-23
LU100078,college of health,Health Science,Sophomore,2.76,60,54,2023-01-03
LU100079,COE,Special Education,Jr,3.33,88,86,2022-08-17
LU100080,College of Education,Special Education,First Year,2.79,30,26,01/02/24
LU100081,P.C. Rossin College of Engineering,Computer Engineering,Sophomore,3.36,56,51,2023-08-11
LU100082,P.C. Rossin College of Engineering,  Civil Engineering  ,First Year,3.19,21,20,2024-08-28
LU100083,College of Health,Public Health,First Year,2.98,27,25,"August 18, 2024"
LU100084,College of Education,Secondary Education,Senior,3.5,121,115,04/08/2021
LU100085,P.C. Rossin College of Engineering,Civil Engineering,2nd Year,2.97,51,47,01-10-2023
LU100086,College of Education,Special Education,Sophomore,3.01,43,40,2023-01-21
LU100087,College of Education,Special Education,Graduate,3.94,10,9,2024-01-11
LU100088,COH,Public Health,Graduate,3.25,17,15,2024-08-25
LU100089,college of arts and sciences,Psychology,Sophomore,3.01,53,52,2023-09-07
LU100090,College of Arts and Sciences,Sociology,First Year,4.0,16,13,"September 21, 2024"
LU100091,College of Business,Finance,Sophomore,3.81,43,,2023-09-06
LU100092,College of Health,Public Health,Graduate, 3.0,23,20,2024-08-06
LU100093,Business,Supply Chain Management,Senior,3.49,112,,08/13/2021
LU100094,College of Arts and Sciences,Chemistry,Senior,3.6,111,100,2021-08-05
LU100095,Business,Business Analytics,  Junior  ,3.25,90,78,18/01/2022
LU100096,college of health,Nursing,Senior,,114,101,08-19-2021
LU100097,Health College,Nursing,Graduate,3.15,21,19,2024-08-04
LU100098,College of Health,Nursing,  First Year  ,3.92,18,17,2024-08-26
LU100099,College of Health,Public Health,Junior,3.32,76,70,2022-08-27
LU100100,College of Education,Special Education,Graduate,3.08,29,27,2023-08-12
LU100101,College of Health,Health Science,Junior,3.86,76,69,2022-08-11
LU100102,College of Education,Elementary Education,junior,3.18,82,73,2022-08-07
LU100103,College of Arts and Sciences,History,Grad,3.07 ,32,29,2023-08-12
LU100104,College of Health,Community Health,  Junior  ,3.47,83,72,08/18/22
LU100105,College of Education,Secondary Education,2nd Year,2.65,57,54,08/18/2023
LU100106,A&S,  Physics  ,Sophomore,2.7,54,46,09/19/2023
LU100107,College of Arts and Sciences,Philosophy,Graduate,4.0,10,8,2023-08-02
LU100108,  College of Business  ,Marketing,First Year,2.89,19,17,2024-01-11
LU100109,College of Education,Secondary Education,Graduate,3.4,34,33,2023-08-12
LU100110,College of Health,Nursing,  Sophomore  ,3.83,44,37,"September 12, 2023"
LU100111,Health,Community Health,Senior,3.32,109,102,2021-09-06
LU100112,College of Health,Health Science,First Year,2.34,12,11,2024-01-13
LU100113,College of Arts and Sciences,Mathematics,Senior,2.7,127,112,2021-08-27
LU100114,College of Business,Economics,Senior,2.62,127,115,2021-08-21
LU100115,Buisness,Economics,Graduate,3.44 ,28,26,25/08/2024
LU100116,College of Education,Elementary Education,  Junior  ,2.51,84,77,2022-08-01
LU100117,COH,Nursing,First Year,4.0,12,11,2024-08-24
LU100118,College of Health,Community Health,Sophomore,3.42,48,42,2023-01-04
LU100119,Arts and Sciences,Sociology,3rd Year,3.57,81,80,2022-08-11
LU100120,College of Education,Elementary Education,Junior,2.65,76,66,2022-01-02
LU100121,  College of Education  ,Elementary Education,Senior,3.42,109,101,2021-09-19
LU100122,College of Health,Health Science,Senior,3.5,122,117,2021-08-15
LU100123,P.C. Rossin College of Engineering,Electrical Engineering,Senior,2.95,121,112,2021-08-10
LU100124,P.C. Rossin College of Engineering,Civil Engineering,Senior,3.19,128,113,2021-09-05
LU100125,College of Arts and Sciences,Philosophy,Fr,3.25,26,24,2024-08-26
LU100126,  College of Business  ,Accounting,  Senior  ,2.76,128,117,2021-08-15
LU100127,P.C. Rossin College of Engineering,Computer Science,Soph,2.94,49,,2023-08-01
LU100128,College of Business,Management,Senior,3.98,105,115,2021-08-13
LU100129,College of Education,Special Education,3rd Year,3.5,76,73,08/14/22
LU100130,Rossin College of Engineering,Computer Engineering,Sophomore,,43 credits,41,2023-09-13
LU100131,P.C. Rossin College of Engineering,  Bioengineering  ,  Graduate  ,3.61,11,9,2024-08-02
LU100132,P.C. Rossin College of Engineering,Civil Engineering,  Junior  ,3.22,84,78,2022-08-23
LU100133,  P.C. Rossin College of Engineering  ,Computer Science,First Year,,20,17,2024-08-24
LU100134,College of Health,Public Health,Sophomore,3.02,50,48,2023-08-24
LU100135,  College of Arts and Sciences  ,English,Sophomore,3.13,44,41,2023-01-22
LU100136,  College of Arts and Sciences  ,Philosophy,Sophomore,2.81 ,53,,2023-08-24
LU100137,  COH  ,Nursing,First Year,2.67,27,26,08-03-2024
LU100138,P.C. Rossin College of Engineering,Electrical Engineering,Soph,3.13,52,51,2023-08-11
LU100139,College of Arts and Sciences,Chemistry,First Year, 3.28,13,11,2024-08-03
LU100140,P.C. Rossin College of Engineering,Mechanical Engineering,First Year,2.62,19 credits,16,2024-08-22
LU100141,College of Arts and Sciences,Chemistry,First Year,2.75,30,27,2024-09-01
LU100142,College of Health,Health Science,First Year,3.19,24,20,2024-01-08
LU100143,College of Arts and Sciences,Philosophy,First Year,3.93,13,12,12/01/2024
LU100144,P.C. Rossin College of Engineering,  Civil Engineering  ,  Sophomore  ,2.67,52,50,2023-01-01
LU100145,College of Education,Elementary Education,First Year,,18,17,2024-08-26
LU100146,College of Health,Health Science,Sophomore,3.26,52,45,2023-09-26
LU100147,College of Arts and Sciences,Psychology,First Year,4.0,30,27,2024-08-20
LU100148,College of Arts and Sciences,Sociology,First Year,,18,15,2024-08-09
LU100149,College of Education,Special Education,Sr,3.47,127,124,2021-08-11
LU100150,  P.C. Rossin College of Engineering  ,  Computer Engineering  ,  First Year  ,3.75,15,13,2024-09-23
LU100151,College of Education,Secondary Education,First Year,3.46,21,20,08/10/2024
LU100152,College of Arts and Sciences,Philosophy,  First Year  ,3.16,15,12,2024-01-14
LU100153,College of Business,Business Analytics,Junior,2.72,76,65,2022-08-06
LU100154,College of Business,Accounting,sophomore,3.13,54,50,01/15/2023
LU100155,College of Health,  Nursing  ,Sophomore,,43,37,2023-08-20
LU100156,College of Arts and Sciences,Mathematics,Sophomore,3.26,57,55,2023-08-05
LU100157,College of Arts and Sciences,Biology,  Junior  ,3.51,88,80,2022-08-07
LU100158,College of Arts and Sciences,Sociology,3rd Year,3.63,77,76,2022-01-18
LU100159,College of Arts and Sciences,Political Science,3rd Year,4.0,72,66,2022-08-20
LU100160,College of Education,Elementary Education,First Year,1.92,23,21,"August 22, 2024"
LU100161,College of Education,Secondary Education,Senior,3.13,122,112,2021-08-14
LU100162,Arts and Sciences,Psychology,Senior,2.82,130,121,2021-08-16
LU100163,College of Arts and Sciences,Mathematics,Junior,3.08,73,,2022-09-07
LU100164,College of Health,Public Health,Sophomore,,47,45,08/21/2023
LU100165,College of Health,Community Health,Sophomore,3.52,53,52,01/07/2023
LU100166,  college of education  ,Special Education,Soph,3.28,46,41,2023-08-25
LU100167,College of Education,Special Education,First Year,3.98,12,10,2024-09-15
LU100168,College of Business,Business Analytics,Senior,3.38,105,93,2021-09-07
LU100169,College of Business,Management,1st Year,3.7,27,23,2024-01-03
LU100170,College of Health,Health Science,First Year,3.6,13,11,2024-08-11
LU100171,College of Health,Public Health,First Year,3.03,17,14,2024-01-22
LU100172,College of Business,Marketing,  Senior  ,3.27,102,97,2021-08-17
LU100173,P.C. Rossin College of Engineering,Bioengineering,Graduate,3.68,24,21,2023-08-02
LU100174,College of Business,Accounting,Sophomore,3.06,43,40,26/08/2023
LU100175,College of Education,Secondary Education,Senior,3.11,105,101,2021-08-11
LU100176,  P.C. Rossin College of Engineering  ,Electrical Engineering,first year,3.6,24,21,08/04/24
LU100177,College of Health,Public Health,Senior,3.74,105,95,"January 13, 2021"
LU100178,College of Education,Secondary Education,Senior,4.0,119,112,2021-08-20
LU100179,college of education,Special Education,Master's,,35,32,08/17/2023
LU100180,  Buisness  ,Marketing,Senior,2.82,105,98,2021-01-13
LU100181,College of Health,Public Health,Graduate,,33,30,2024-08-10
LU100182,College of Business,Marketing,Junior,2.68,76,65,2022-01-02
LU100183,engineering,Computer Engineering,Junior,2.96,78 credits,74,2022-08-10
LU100184,College of Arts and Sciences,Political Science,Graduate,3.76,12,,2023-08-17
LU100185,College of Education,  Special Education  ,  First Year  ,3.92,18,17,2024-08-07
LU100186,College of Arts and Sciences,History,  First Year  ,,19,18,2024-09-15
LU100187,College of Education,Elementary Education,Soph,2.93,51,49,09/13/23
LU100188,College of Arts and Sciences,Biology,Junior,2.73,89,77,2022-08-19
LU100189,  College of Arts and Sciences  ,English,First Year,2.73,13,12,2024-01-03
LU100190,Arts and Sciences,Philosophy,Sr,2.94,124,116,2021-08-14
LU100191,  College of Business  ,Finance,Senior,3.68,128,111,2021-08-24
LU100192,College of Education,Secondary Education,Senior,3.56,106,95,"January 24, 2021"
LU100193,COE,Special Education,Grad,3.9,20,17,2023-08-03
LU100194,College of Arts and Sciences,Mathematics,Junior,3.88,90,78,2022-08-19
LU100195,P.C. Rossin College of Engineering,Bioengineering,Freshman,3.86,18,15,2024-08-20
LU100196,COE,Elementary Education,First Year,3.5,28,23,2024-08-06
LU100197,College of Health,Public Health,1st Year,2.82,30,29,2024-01-22
LU100198,College of Education,Elementary Education,First Year,3.28 ,13,12,2024-08-16
LU100199,Ed,Special Education,Graduate,3.8,22,19,08/28/23
LU100200,College of Business,Finance,Junior,2.8,90,79,2022-01-12
LU100201,College of Health,Public Health,Graduate,3.33,23,22,2024-08-07
LU100202,College of Business,Accounting,Sophomore,2.5,53,45,2023-09-13
LU100203,COB,Economics,3rd Year,2.97,77,73,08/21/2022
LU100204,College of Education,Secondary Education,Sophomore,3.16,50,44,2023-09-13
LU100205,college of health,  Community Health  ,Junior,3.39,86,81,2022-09-04
LU100206,A&S,Chemistry,Junior,2.55,77,70,2022-08-19
LU100207,College of Business,Accounting,  Graduate  ,3.4,28,23,2024-09-12
LU100208,College of Health,Community Health,Graduate,3.2,10,,2023-08-15
LU100209,P.C. Rossin College of Engineering,Chemical Engineering,Junior,2.97,87,79,2022-08-12
LU100210,P.C. Rossin College of Engineering,Bioengineering,Senior,3.15,107,97,2021-01-18
LU100211,College of Arts and Sciences,Mathematics,Sophomore,2.12,50,45,2023-08-12
LU100212,College of Health,Nursing,Junior,2.91,76,74,2022-09-21
LU100213,College of Arts and Sciences,Philosophy,Jr,3.04,72,62,2022-08-24
LU100214,College of Business,Management,Grad,,21,18,2024-08-15
LU100215,  College of Education  ,Elementary Education,Junior,5.0,90,82,2022-08-16
LU100216,College of Health,Nursing,First Year,3.37,25,24,2024-08-18
LU100217,College of Education,Special Education,Senior,5.0,127,113,08/06/2021
LU100218,College of Business,  Finance  ,First Year,4.0,12,,2024-09-10
LU100219,P.C. Rossin College of Engineering,Chemical Engineering,senior,3.5,126,120,2021-09-08
LU100220,College of Education,Special Education,First Year,2.83,27,,2024-08-02
LU100221,College of Health,Public Health,Sophomore,3.45,44,41,2023-08-02
LU100222,P.C. Rossin College of Engineering,Chemical Engineering,Graduate,3.69,24,22,"January 23, 2023"
LU100223,College of Arts and Sciences,  Sociology  ,first year,2.72,17,16,2024-01-08
LU100224,  College of Business  ,Economics,Graduate,3.38,14,13,2024-08-16
LU100225,College of Health,Health Science,Junior,3.03,85,82,2022-01-09
LU100226,P.C. Rossin College of Engineering,Computer Engineering,Senior,3.11,126,119,2021-09-23
LU100227,College of Arts and Sciences,Physics,Sophomore,2.57,52 credits,48,25/09/2023
LU100228,P.C. Rossin College of Engineering,Electrical Engineering,Graduate, 3.18,9,8,2023-01-17
LU100229,P.C. Rossin College of Engineering,Mechanical Engineering,Senior,3.47,128,,2021-01-21
LU100230,P.C. Rossin College of Engineering,  Computer Science  ,Senior,3.16,122,110,2021-01-02
LU100231,College of Health,Public Health,  First Year  ,3.78,13,12,2024-08-13
LU100232,College of Health,Nursing,Senior, 3.66,120,103,2021-09-12
LU100233,College of Arts and Sciences,Psychology,Senior,3.52,103,91,2021-08-01
LU100234,Buisness,Supply Chain Management,  Junior  ,,88 credits,75,2022-08-10
LU100235,College of Health,Public Health,Graduate,3.130,19,17,08/07/24
LU100236,College of Education,Secondary Education,4th Year,3.37,122,108,2021-08-18
LU100237,College of Arts and Sciences,Philosophy,Sophomore,2.87,46,43,08/10/2023
LU100238,College of Arts and Sciences,Psychology,Senior,3.33,126,113,2021-09-10
LU100239,P.C. Rossin College of Engineering,Electrical Engineering,Sophomore,3.4,57,,2023-08-06
LU100240,P.C. Rossin College of Engineering,Mechanical Engineering,Fr,3.14,26,25,2024-08-28
LU100241,College of Business,  Business Analytics  ,First Year,1.91,19,17,2024-08-18
LU100242,P.C. Rossin College of Engineering,  Bioengineering  ,Senior,3.62,116 credits,100,2021-08-25
LU100243,P.C. Rossin College of Engineering,Mechanical Engineering,First Year,2.87,14,13,2024-01-20
LU100244,College of Arts and Sciences,Sociology,  Sophomore  ,2.52,47 credits,40,2023-08-01
LU100245,Education,Elementary Education,Sophomore,2.54,59,57,08/06/23
LU100246,College of Education,Special Education,First Year,2.86,26,25,2024-08-03
LU100247,P.C. Rossin College of Engineering,Computer Science,First Year,2.99,14,12,2024-09-20
LU100248,College of Arts and Sciences,  English  ,First Year,,12,11,2024-08-26
LU100249,College of Education,Secondary Education,Senior,3.67,114,109,2021-08-07
LU100250,Health College,Health Science,Senior,3.64,111,103,2021-01-18
LU100251,  College of Health  ,Public Health,junior,3.8,82,78,2022-09-03
LU100252,College of Education,Elementary Education,  first year  ,2.35,27,25,08/05/2024
LU100253,Health,Health Science,First Year,3.2,12,11,2024-08-11
LU100254,College of Arts and Sciences,Mathematics,First Year,2.11,21,19,2024-08-10
LU100255,college of health,Nursing,2nd Year,3.52,59,50,2023-01-05
LU100256,College of Arts and Sciences,Physics,3rd Year,2.65,72,61,2022-08-16
LU100257,College of Health,Public Health,Senior,2.37,114,98,2021-01-14
LU100258,Ed,  Elementary Education  ,Senior,3.08,107,95,2021-08-20
LU100259,P.C. Rossin College of Engineering,Bioengineering,Junior,2.84,78,68,2022-08-19
LU100260,College of Business,Marketing,Master's,3.85,10,8,28/08/2023
LU100261,College of Health,Public Health,Sophomore,3.38,42,36,2023-08-24
LU100262,College of Health,  Community Health  ,2nd Year,3.01,49,43,01-16-2023
LU100263,College of Education,Secondary Education,Junior,4.0,74,,2022-01-26
LU100264,College of Arts and Sciences,Mathematics,First Year,3.69,21 credits,20,2024-08-21
LU100265,A&S,Biology,Sr,2.7,125,109,08-26-2021
LU100266,college of health,Public Health,First Year,2.3,23,19,2024-08-02
LU100267,College of Health,Community Health,Senior,3.99,103,89,2021-09-20
LU100268,College of Arts and Sciences,Psychology,Sophomore,3.02,42,39,2023-08-14
LU100269,Business,Management,  Graduate  ,3.95,21,19,2024-08-23
LU100270,COB,Supply Chain Management,  Sophomore  ,3.55,43,38,2023-08-15
LU100271,College of Education,Special Education,2nd Year,2.2,46,43,2023-08-22
LU100272,  College of Business  ,Supply Chain Management,Graduate,3.81,35,33,2024-01-18
LU100273,College of Engineering,Civil Engineering,Junior,3.95,81,77,2022-08-16
LU100274,  Health College  ,Health Science,First Year,2.92,13,11,09/04/24
LU100275,P.C. Rossin College of Engineering,Civil Engineering,Fr,2.23,15,13,2024-01-03
LU100276,COE,Elementary Education,Sophomore,2.4,48,46,2023-08-03
LU100277,COH,Health Science,First Year,3.21,30,29,2024-09-23
LU100278,College of Arts and Sciences,Political Science,First Year,3.33,19,16,01-12-2024
LU100279,College of Business,Management,Sophomore,3.3,56,47,2023-01-06
LU100280,College of Business,Finance,senior,3.69,129,113,2021-08-16
LU100281,College of Education,Elementary Education,Sophomore,3.63,55,48,2023-08-10
LU100282,College of Health,Nursing,first year,3.53,25,24,2024-08-11
LU100283,College of Business,Supply Chain Management,3rd Year,3.95,85,84,08/10/22
LU100284,Health,Health Science,Graduate,3.85,11,9,2023-01-02
LU100285,College of Business,Accounting,2nd Year,3.06,53,46,2023-01-23
LU100286,College of Arts and Sciences,History,Senior,3.42,110,94,2021-08-15
LU100287,Buisness,Finance,  Grad  ,3.48,14,12,2024-08-06
LU100288,P.C. Rossin College of Engineering,Mechanical Engineering,First Year,3.16,19,18,2024-09-19
LU100289,College of Arts and Sciences,Biology,  First Year  ,2.78,17,16,2024-08-06
LU100290,College of Arts and Sciences,Physics,First Year,4.0,26,36,2024-01-10
LU100291,Ed,Special Education,First Year,1.9,26,23,2024-09-02
LU100292,  Business  ,Accounting,Junior,2.91,86,81,2022-01-13
LU100293,College of Health,Health Science,First Year,3.85,25,24,2024-08-26
LU100294,College of Education,Secondary Education,First Year,2.46,25,23,2024-09-06
LU100295,College of Health,Public Health,First Year,3.57,27,23,2024-09-06
LU100296,  Health  ,Health Science,Sophomore,3.21,60,,2023-08-19
LU100297,College of Business,Business Analytics,First Year,2.39,17 credits,15,2024-08-09
LU100298,P.C. Rossin College of Engineering,Electrical Engineering,Sr,2.91,127,125,2021-09-15
LU100299,College of Business,Management,  Senior  ,3.54,106,,08/07/2021
LU100300,COB,Marketing,1st Year,,21,19,2024-08-20
LU100301,College of Education,Special Education,First Year,3.53,28,24,2024-08-06
LU100302,College of Arts and Sciences,Political Science,Junior,2.61,88,77,2022-08-04
LU100303,college of health,Public Health,Junior,3.08,78,76,2022-08-06
LU100304,College of Arts and Sciences,English,Sophomore,4.0,54,46,2023-09-09
LU100305,College of Health,Health Science,First Year,2.67,16,13,2024-08-16
LU100306,College of Health,Community Health,junior,3.32,89,80,2022-08-14
LU100307,  College of Health  ,  Community Health  ,Senior,2.98,119,113,2021-09-18
LU100308,  College of Arts and Sciences  ,Philosophy,Freshman,2.81,22,19,2024-08-12
LU100309,college of health,Community Health,Soph,2.98,52,47,2023-08-19
LU100310,College of Education,Elementary Education,Sophomore,2.57,43,38,2023-08-20
LU100311,  Arts & Sciences  ,English,sophomore,3.2,59,51,2023-01-28
LU100312,P.C. Rossin College of Engineering,Civil Engineering,  Senior  ,3.88,126,112,2021-09-11
LU100313,  Arts and Sciences  ,Sociology,Junior,5.0,73,64,2022-08-01
LU100314,College of Business,Supply Chain Management,Graduate,3.58,32,31,2024-08-19
LU100315,College of Education,Special Education,Sophomore,3.2,55,48,2023-08-07
LU100316,P.C. Rossin College of Engineering,Industrial Engineering,Junior,2.97,83,80,2022-01-02
LU100317,P.C. Rossin College of Engineering,Bioengineering,sophomore,3.62,50,44,2023-08-07
LU100318,Arts & Sciences,Political Science,Graduate,3.44,35 credits,30,2024-08-17
LU100319,College of Arts and Sciences,Physics,Junior,3.56,76,74,08-15-2022
LU100320,COB,Business Analystics,senior,3.59,122,107,2021-09-07
LU100321,College of Health,Health Science,Soph,3.55,50,44,2023-09-05
LU100322,College of Arts and Sciences,Philosophy,Senior,4.0,116,100,2021-08-28
LU100323,  College of Education  ,Special Education,graduate,,10,8,2023-08-13
LU100324,Arts and Sciences,Chemistry,Sophomore,2.72,46,42,2023-08-14
LU100325,College of Health,Health Science,  First Year  ,,27,24,2024-09-04
LU100326,College of Arts and Sciences,  Psychology  ,Senior,3.49,125,115,2021-01-22
LU100327,College of Business,Supply Chain Management,Sophomore,3.41,52,45,2023-09-27
LU100328,College of Education,Elementary Education,First Year,2.98,13,12,26/08/2024
LU100329,RCOE,Mechanical Engineering,Sophomore,3.46,51,50,2023-08-22
LU100330,College of Business,Business Analytics,Sophomore,2.43,56,53,2023-09-17
LU100331,Business,Business Analytics,First Year,3.37 ,25,22,2024-01-27
LU100332,College of Health,Nursing,Sophomore,,47,41,2023-01-09
LU100333,College of Education,Special Education,Sophomore,2.85,54,,2023-08-05
LU100334,College of Business,Marketing,Senior,2.86,106,,2021-08-06
LU100335,College of Business,  Management  ,Senior,3.02,117,112,"August 16, 2021"
LU100336,COH,Community Health,First Year,3.36,23,21,2024-08-06
LU100337,College of Health,  Community Health  ,  Senior  ,3.1,127,116,2021-01-07
LU100338,College of Arts and Sciences,Physics,Senior,2.82,107,104,2021-08-11
LU100339,College of Education,Special Education,Senior,3.15,116,,2021-08-26
LU100340,COH,Community Health,Senior,2.52,105,91,2021-08-27
LU100341,P.C. Rossin College of Engineering,Civil Engineering,Senior,2.71,106,102,2021-09-15
LU100342,College of Business,Supply Chain Management,Senior,3.27,123,121,2021-01-02
LU100343,College of Arts and Sciences,History,Junior,3.58,78,,2022-08-26
LU100344,College of Business,Business Analytics,Junior,3.66,88,79,2022-08-01
LU100345,Buisness,Supply Chain Management,Sophomore,3.15,49,47,2023-08-10
LU100346,Health College,Health Science,First Year,2.44,25,24,2024-08-15
LU100347,  P.C. Rossin College of Engineering  ,Civil Engineering,Junior,2.8,88,86,2022-08-15
LU100348,Arts and Sciences,Mathematics,Sophomore,3.25,42,40,2023-01-14
LU100349,College of Health,Community Health,Senior,3.51,106,98,2021-09-22
LU100350,College Of Business,Economics,  first year  ,2.82,12,11,01/21/24
LU100351,P.C. Rossin College of Engineering,Electrical Engineering,Senior, 3.68,104,100,2021-09-19
LU100352,COH,Public Health,First Year,2.43,22,19,2024-08-13
LU100353,College of Business,Marketing,First Year,2.5,27,23,2024-08-09
LU100354,College of Education,Elementary Education,Senior,3.49,119,118,2021-08-01
LU100355,P.C. Rossin College of Engineering,Chemical Engineering,First Year,3.05,21,18,2024-08-24
LU100356,College of Arts and Sciences,  Physics  ,  First Year  ,2.33,22,18,2024-08-20
LU100357,College of Health,Health Science,Sophomore, 3.56,53,48,2023-08-15
LU100358,college of arts and sciences,Biology,Sophomore,2.33,48,40,08/28/2023
LU100359,college of education,Special Education,Senior,3.62,124,118,2021-01-15
LU100360,P.C. Rossin College of Engineering,Computer Science,  Sophomore  ,3.9,55,51,2023-08-13
