Student_ID,College,Major,Class_Year,GPA,Credits_Attempted,Credits_Earned,Enrollment_Date,Study_Hours_Per_Week,Campus_Housing,Financial_Aid,Extracurriculars,Part_Time_Job,First_Generation,Distance_From_Home
LU100017,College of Business,Economics,First Year,3.75,25,23,2024-01-04,11.5,On-campus,No,0,No,Yes,311
LU100018,College of Health,Community Health,Junior,3.7,86,79,2022-01-07,9.5,Off-campus,Yes,1,No,Yes,763
LU100019,College of Education,Elementary Education,Senior,4.0,126,112,2021-01-21,28.3,Commuter,Partial,3,Yes (20h),No,1337
LU100020,College of Arts and Sciences,Chemistry,Sophomore,3.89,47,43,2023-01-13,14.9,On-campus,No,2,No,No,174
LU100021,College of Arts and Sciences,History,Senior,3.21,122,109,2021-01-10,15.5,Off-campus,Yes,1,Yes (20h),No,37
LU100022,College of Education,Special Education,First Year,3.09,23,22,2024-01-03,17.4,Off-campus,No,1,Yes (23h),No,157
LU100023,College of Education,Special Education,Graduate,3.32,12,11,2023-08-07,12.1,On-campus,Yes,2,No,No,44
LU100024,College of Arts and Sciences,English,First Year,2.7,30,29,2024-01-18,9.7,On-campus,Yes,4,No,No,39
LU100025,College of Business,Management,Junior,3.99,76,66,2022-09-26,14.5,Commuter,Yes,2,No,Yes,40
LU100026,College of Health,Public Health,Sophomore,3.56,55,54,2023-08-10,14.3,Off-campus,No,1,No,No,2732
LU100027,College of Education,Special Education,Senior,3.31,123,116,2021-01-21,10.0,On-campus,No,2,Yes (19h),No,9
LU100028,College of Health,Community Health,First Year,2.51,19,16,2024-09-02,17.6,Commuter,Yes,0,Yes (14h),No,1081
LU100029,College of Business,Business Analytics,Junior,3.25,73,64,2022-01-22,15.0,Off-campus,No,2,No,No,381
LU100030,College of Business,Economics,Sophomore,3.17,58,51,2023-01-06,18.3,Off-campus,Yes,4,No,No,49
LU100031,College of Health,Public Health,Junior,3.14,90,82,2022-08-28,22.7,On-campus,Partial,1,No,Yes,152
LU100032,College of Health,Community Health,First Year,1.88,15,14,2024-08-28,16.9,On-campus,No,1,No,No,6
LU100033,College of Arts and Sciences,Political Science,Sophomore,3.31,45,38,2023-08-06,2.0,On-campus,Yes,1,No,No,41
LU100034,College of Arts and Sciences,Chemistry,Sophomore,3.07,48,44,2023-08-02,5.3,Off-campus,Yes,4,No,No,143
LU100035,P.C. Rossin College of Engineering,Computer Engineering,First Year,1.91,14,12,2024-01-22,23.6,Off-campus,Yes,4,No,Yes,191
LU100036,College of Education,Elementary Education,First Year,3.38,29,28,2024-01-14,10.3,Off-campus,Yes,3,Yes (23h),No,23
LU100037,College of Business,Economics,Senior,3.63,108,105,2021-08-26,6.1,Off-campus,Yes,1,No,No,10
LU100038,College of Business,Finance,Sophomore,3.7,54,48,2023-09-22,10.1,Off-campus,Yes,3,No,Yes,6
LU100039,College of Health,Nursing,Junior,4.0,89,84,2022-01-16,5.8,Off-campus,No,2,No,No,49
LU100040,College of Health,Public Health,First Year,2.58,18,17,2024-01-25,7.3,On-campus,Yes,4,No,,12
LU100041,College of Education,Special Education,Junior,3.3,90,82,2022-01-26,6.6,Off-campus,Yes,3,No,No,190
LU100042,College of Education,Elementary Education,First Year,2.89,28,24,2024-01-24,16.9,Commuter,Yes,3,No,No,111
LU100043,P.C. Rossin College of Engineering,Mechanical Engineering,Junior,3.15,75,74,2022-08-03,13.8,On-campus,No,0,Yes (17h),No,31
LU100044,College of Education,Elementary Education,Junior,3.01,73,68,2022-09-15,10.0,On-campus,Yes,2,No,No,983
LU100045,College of Health,Nursing,Graduate,3.73,16,14,2024-08-01,20.5,On-campus,No,3,No,No,699
LU100046,P.C. Rossin College of Engineering,Chemical Engineering,Junior,3.98,74,63,2022-08-14,12.9,Off-campus,Yes,2,No,No,2274
LU100047,College of Education,Special Education,Graduate,3.79,17,14,2021-08-19,13.5,Off-campus,Yes,2,Yes (17h),No,29
LU100048,College of Arts and Sciences,Chemistry,Graduate,3.69,20,17,2023-08-09,14.4,Commuter,Yes,3,Yes (16h),Yes,1082
LU100049,College of Health,Nursing,Junior,3.95,72,68,2022-01-07,20.2,On-campus,Yes,0,No,Yes,43
LU100050,College of Education,Secondary Education,Graduate,3.56,12,11,2021-01-10,6.7,On-campus,Yes,1,No,No,277
LU100051,P.C. Rossin College of Engineering,Chemical Engineering,First Year,3.7,20,17,2024-01-23,16.9,Off-campus,Yes,5,No,No,37
LU100052,P.C. Rossin College of Engineering,Industrial Engineering,First Year,3.57,20,18,2024-01-28,2.0,On-campus,Yes,2,Yes (19h),No,866
LU100053,College of Arts and Sciences,Biology,First Year,2.67,12,10,2024-09-26,25.6,Off-campus,No,2,Yes (12h),Yes,449
LU100054,P.C. Rossin College of Engineering,Chemical Engineering,First Year,3.32,26,24,2024-09-20,9.2,Off-campus,Yes,2,Yes (20h),No,43
LU100055,College of Health,Health Science,First Year,3.97,16,14,2024-09-01,10.5,On-campus,Yes,2,Yes (20h),No,295
LU100056,College of Arts and Sciences,Philosophy,Junior,3.07,85,73,2022-01-13,14.5,Off-campus,Yes,2,No,No,538
LU100057,College of Arts and Sciences,Physics,Graduate,3.77,20,17,2023-09-15,14.3,On-campus,Yes,0,No,Yes,35
LU100058,P.C. Rossin College of Engineering,Mechanical Engineering,Sophomore,2.25,59,57,2023-09-19,20.3,Commuter,Yes,1,Yes (11h),No,50
LU100059,College of Health,Public Health,Graduate,3.61,34,33,2022-08-02,23.8,Off-campus,Yes,3,No,No,162
LU100060,College of Health,Health Science,First Year,3.46,22,21,2024-01-02,13.6,On-campus,No,0,Yes (20h),,63
LU100061,College of Health,Public Health,Sophomore,3.26,43,42,2023-01-26,9.5,Commuter,Yes,3,No,Yes,165
LU100062,P.C. Rossin College of Engineering,Electrical Engineering,Senior,3.21,116,104,2021-08-28,12.7,Off-campus,Yes,2,Yes (8h),Yes,47
LU100063,P.C. Rossin College of Engineering,Electrical Engineering,First Year,3.29,14,13,2024-01-08,16.3,On-campus,Yes,2,Yes (12h),Yes,272
LU100064,College of Arts and Sciences,Physics,Senior,3.73,114,108,2021-08-26,17.5,Off-campus,Yes,3,Yes (8h),No,2692
LU100065,College of Education,Secondary Education,Graduate,4.0,14,13,2022-01-02,18.0,Off-campus,Yes,1,Yes (14h),No,176
LU100066,College of Arts and Sciences,Biology,First Year,4.0,25,22,2024-01-20,20.2,On-campus,Yes,1,Yes (7h),No,801
LU100067,College of Arts and Sciences,Political Science,Junior,2.86,90,79,2022-09-27,14.8,Off-campus,Yes,2,No,No,175
LU100068,College of Business,Management,Junior,3.27,88,87,2022-08-12,17.0,On-campus,Yes,0,Yes (18h),Yes,2666
LU100069,College of Education,Special Education,Senior,3.37,113,103,2021-08-03,12.6,Commuter,Yes,2,No,No,98
LU100070,College of Arts and Sciences,Philosophy,Sophomore,2.46,45,43,2023-09-25,20.7,Off-campus,Yes,0,Yes (9h),No,81
LU100071,College of Arts and Sciences,History,Sophomore,2.77,51,47,2023-09-20,18.4,On-campus,Yes,2,Yes (8h),Yes,710
LU100072,P.C. Rossin College of Engineering,Computer Engineering,Senior,3.62,114,108,2021-09-23,4.5,On-campus,No,5,Yes (22h),Yes,84
LU100073,P.C. Rossin College of Engineering,Chemical Engineering,Sophomore,3.41,48,43,2023-08-25,16.8,Commuter,Yes,3,Yes (14h),No,88
LU100074,College of Education,Special Education,Senior,3.11,116,106,2021-09-16,8.0,On-campus,Yes,2,No,Yes,196
LU100075,P.C. Rossin College of Engineering,Bioengineering,Senior,4.0,123,106,2021-01-28,15.3,Off-campus,No,3,Yes (25h),No,37
LU100076,College of Education,Special Education,Senior,3.24,112,96,2021-01-28,12.9,Commuter,Yes,4,Yes (9h),No,35
LU100077,P.C. Rossin College of Engineering,Chemical Engineering,Sophomore,3.23,49,48,2023-08-20,11.4,Commuter,No,3,Yes (15h),No,188
LU100078,College of Education,Elementary Education,Junior,3.4,90,79,2022-09-03,5.5,On-campus,No,1,Yes (7h),Yes,75
LU100079,College of Health,Community Health,Sophomore,3.66,45,43,2023-01-23,14.5,On-campus,Yes,1,No,No,96
LU100080,P.C. Rossin College of Engineering,Civil Engineering,Senior,3.89,124,115,2021-01-03,16.6,Off-campus,Yes,2,No,Yes,167
LU100081,College of Business,Business Analytics,Sophomore,3.52,56,53,2023-09-01,21.3,On-campus,Yes,0,No,Yes,2413
LU100082,College of Education,Special Education,Sophomore,2.75,56,52,2023-08-28,10.4,On-campus,Partial,3,Yes (17h),No,1604
LU100083,College of Education,Secondary Education,Senior,2.59,125,122,2021-09-13,13.6,Off-campus,No,0,No,No,19
LU100084,College of Health,Nursing,Senior,3.15,128,121,2021-01-21,23.9,On-campus,Yes,3,No,Yes,45
LU100085,College of Education,Secondary Education,Senior,3.38,111,98,2021-08-26,6.4,Off-campus,Yes,1,No,Yes,143
LU100086,College of Arts and Sciences,Physics,Graduate,3.72,11,9,2023-01-09,18.3,Commuter,Partial,4,Yes (15h),No,19
LU100087,P.C. Rossin College of Engineering,Computer Engineering,Senior,3.36,115,103,2021-09-12,20.9,On-campus,Yes,1,No,No,145
LU100088,College of Health,Community Health,First Year,2.89,25,22,2024-09-08,18.8,Off-campus,Yes,4,Yes (24h),Yes,917
LU100089,College of Education,Special Education,First Year,3.67,27,22,2024-09-14,16.6,On-campus,Partial,0,Yes (22h),No,188
LU100090,College of Arts and Sciences,Mathematics,Senior,3.04,129,126,2021-09-24,16.4,Off-campus,No,2,No,No,49
LU100091,College of Health,Public Health,Junior,3.23,84,75,2022-01-15,10.2,On-campus,Partial,1,No,Yes,12
LU100092,College of Health,Public Health,Senior,3.86,106,105,2021-01-22,16.7,On-campus,Yes,4,Yes (15h),Yes,67
LU100093,College of Education,Elementary Education,Graduate,3.23,11,10,2022-09-07,17.0,Off-campus,No,2,Yes (9h),No,312
LU100094,P.C. Rossin College of Engineering,Bioengineering,First Year,2.62,20,18,2024-01-01,10.3,On-campus,No,2,Yes (13h),,738
LU100095,P.C. Rossin College of Engineering,Bioengineering,Sophomore,3.23,55,48,2023-09-03,3.0,Off-campus,Yes,2,No,,874
LU100096,College of Business,Supply Chain Management,First Year,2.52,29,24,2024-08-21,16.8,Commuter,Yes,2,No,No,1150
LU100097,College of Arts and Sciences,English,Senior,3.51,126,107,2021-08-20,17.2,Off-campus,Yes,3,Yes (24h),No,75
LU100098,P.C. Rossin College of Engineering,Electrical Engineering,Senior,2.83,121,105,2021-09-21,17.9,Commuter,Yes,3,No,No,608
LU100099,P.C. Rossin College of Engineering,Bioengineering,Senior,3.14,124,110,2021-09-04,12.7,On-campus,Partial,2,No,,32
LU100100,College of Arts and Sciences,Psychology,Junior,3.18,75,72,2022-09-24,20.6,On-campus,Yes,0,No,No,158
LU100101,P.C. Rossin College of Engineering,Chemical Engineering,First Year,3.61,24,21,2024-08-20,13.7,Off-campus,Yes,2,No,No,22
LU100102,P.C. Rossin College of Engineering,Mechanical Engineering,Junior,3.36,79,68,2022-08-28,18.0,Off-campus,No,2,No,No,118
LU100103,College of Arts and Sciences,Philosophy,Senior,3.55,103,92,2021-01-09,13.2,On-campus,Yes,3,No,Yes,57
LU100104,College of Health,Nursing,First Year,2.36,22,18,2024-09-17,9.2,On-campus,Yes,1,Yes (15h),No,8
LU100105,College of Health,Community Health,First Year,3.93,26,24,2024-01-25,7.3,On-campus,No,2,No,No,32
LU100106,College of Health,Public Health,Senior,3.26,122,108,2021-08-22,7.9,Off-campus,Yes,2,Yes (17h),Yes,18
LU100107,College of Education,Secondary Education,Junior,3.58,82,80,2022-08-10,14.6,Off-campus,Yes,1,No,No,273
LU100108,College of Business,Marketing,Graduate,3.24,16,15,2024-09-02,15.8,On-campus,Yes,0,Yes (18h),No,79
LU100109,College of Education,Special Education,Senior,3.16,112,98,2021-01-11,23.0,Off-campus,No,1,No,No,70
LU100110,P.C. Rossin College of Engineering,Industrial Engineering,Senior,3.8,112,99,2021-08-24,30.0,On-campus,Yes,1,No,No,1715
LU100111,College of Education,Special Education,Graduate,3.26,15,12,2023-09-27,12.6,On-campus,Yes,1,Yes (25h),,2286
LU100112,College of Health,Community Health,Junior,3.11,79,75,2022-08-25,11.9,Off-campus,Yes,2,No,No,45
LU100113,College of Health,Community Health,Senior,3.64,124,109,2021-01-15,21.9,On-campus,Yes,0,No,No,23
LU100114,College of Education,Secondary Education,Junior,3.48,88,79,2022-09-28,18.1,Commuter,Yes,2,Yes (23h),No,660
LU100115,College of Education,Secondary Education,Sophomore,2.79,49,42,2023-08-20,11.0,On-campus,Yes,3,Yes (7h),Yes,33
LU100116,P.C. Rossin College of Engineering,Industrial Engineering,First Year,3.25,29,28,2024-09-17,15.6,Off-campus,Yes,4,Yes (15h),Yes,135
LU100117,P.C. Rossin College of Engineering,Electrical Engineering,First Year,2.14,28,26,2024-08-04,8.5,On-campus,No,4,No,Yes,139
LU100118,College of Business,Economics,First Year,3.2,19,17,2024-09-23,12.5,Off-campus,Yes,3,Yes (22h),No,886
LU100119,College of Arts and Sciences,Biology,Senior,3.49,103,96,2021-09-22,9.1,On-campus,Yes,1,No,Yes,9
LU100120,P.C. Rossin College of Engineering,Bioengineering,First Year,3.23,12,11,2024-01-17,18.1,Off-campus,No,3,Yes (15h),No,89
LU100121,College of Health,Community Health,Junior,3.36,87,75,2022-01-27,11.6,Commuter,No,0,Yes (12h),No,659
LU100122,College of Business,Supply Chain Management,Junior,3.43,90,84,2022-09-08,5.8,On-campus,No,2,No,No,1945
LU100123,College of Business,Finance,First Year,2.63,19,16,2024-08-17,2.0,Commuter,No,0,Yes (25h),No,2456
LU100124,College of Health,Public Health,Senior,3.27,114,104,2021-08-03,11.9,Off-campus,Yes,4,Yes (18h),,2672
LU100125,College of Health,Nursing,Graduate,3.86,28,24,2024-08-01,8.9,On-campus,Yes,0,Yes (15h),No,87
LU100126,College of Business,Economics,First Year,3.07,18,16,2024-01-10,18.6,Commuter,Yes,3,No,No,1038
LU100127,College of Business,Finance,Sophomore,2.92,55,50,2023-01-27,24.8,Off-campus,Yes,3,Yes (8h),,167
LU100128,College of Education,Secondary Education,Sophomore,3.11,49,43,2023-01-27,28.4,Commuter,Yes,0,No,Yes,140
LU100129,College of Arts and Sciences,Sociology,First Year,3.15,30,28,2024-09-14,19.0,Off-campus,Yes,4,No,No,35
LU100130,P.C. Rossin College of Engineering,Computer Engineering,First Year,3.57,19,17,2024-09-13,24.6,Commuter,Yes,0,No,No,198
LU100131,College of Arts and Sciences,Psychology,First Year,3.36,30,29,2024-01-02,11.2,Off-campus,No,2,No,Yes,50
LU100132,College of Health,Health Science,Junior,3.63,81,77,2022-01-10,20.1,On-campus,No,3,Yes (14h),No,114
LU100133,College of Arts and Sciences,History,Junior,2.74,85,81,2022-09-07,11.9,On-campus,No,1,No,No,148
LU100134,College of Education,Secondary Education,First Year,3.41,19,18,2024-01-16,28.6,Off-campus,Yes,3,Yes (7h),Yes,96
LU100135,College of Education,Special Education,Graduate,4.0,17,15,2023-08-04,24.0,On-campus,Yes,2,No,Yes,561
LU100136,P.C. Rossin College of Engineering,Bioengineering,Junior,3.3,86,84,2022-08-21,20.0,Commuter,Partial,0,No,No,57
LU100137,P.C. Rossin College of Engineering,Computer Engineering,Senior,3.23,113,102,2021-09-22,15.4,On-campus,No,1,Yes (23h),,33
LU100138,College of Arts and Sciences,Chemistry,Graduate,3.61,19,17,2023-08-15,13.2,Off-campus,Yes,2,Yes (25h),No,16
LU100139,College of Health,Nursing,Senior,2.85,103,94,2021-09-13,18.0,Off-campus,No,1,No,No,13
LU100140,College of Arts and Sciences,Mathematics,Sophomore,3.69,54,52,2023-08-06,13.2,Commuter,Yes,0,No,Yes,9
LU100141,College of Business,Management,Graduate,3.5,25,22,2023-08-28,21.0,Off-campus,Yes,1,Yes (11h),Yes,142
LU100142,College of Health,Community Health,Senior,3.43,108,96,2021-08-26,24.2,Commuter,Yes,3,Yes (17h),No,154
LU100143,P.C. Rossin College of Engineering,Chemical Engineering,Junior,3.23,79,75,2022-01-11,10.2,Off-campus,Yes,3,No,Yes,1886
LU100144,College of Arts and Sciences,History,First Year,2.81,25,21,2024-01-17,9.0,On-campus,Yes,1,No,No,280
LU100145,College of Business,Supply Chain Management,Graduate,3.5,31,27,2023-01-21,20.4,Off-campus,Yes,0,No,No,44
LU100146,College of Arts and Sciences,Political Science,Senior,3.21,117,103,2021-09-02,13.5,Commuter,Yes,0,No,No,626
LU100147,College of Education,Elementary Education,Sophomore,3.73,46,45,2023-08-21,5.4,On-campus,Yes,3,No,No,31
LU100148,College of Arts and Sciences,Political Science,Sophomore,2.92,58,51,2023-08-07,12.2,On-campus,Yes,3,Yes (16h),Yes,40
LU100149,College of Business,Marketing,Senior,3.68,123,113,2021-08-08,9.6,On-campus,Yes,1,Yes (24h),No,2666
LU100150,P.C. Rossin College of Engineering,Bioengineering,Junior,2.79,83,74,2022-09-24,16.2,On-campus,No,2,No,Yes,30
LU100151,College of Education,Secondary Education,Junior,3.17,79,73,2022-01-07,13.1,On-campus,Yes,3,No,Yes,13
LU100152,P.C. Rossin College of Engineering,Computer Engineering,First Year,3.45,27,25,2024-09-12,13.9,Off-campus,Yes,2,No,No,37
LU100153,College of Health,Community Health,Graduate,3.71,13,12,2024-09-09,19.5,Off-campus,Yes,0,Yes (15h),No,43
LU100154,College of Business,Finance,Junior,2.67,90,80,2022-09-02,6.3,On-campus,Yes,1,No,No,133
LU100155,College of Business,Economics,Senior,4.0,102,97,2021-01-13,26.5,On-campus,Yes,3,No,Yes,577
LU100156,College of Health,Public Health,First Year,3.87,20,18,2024-09-04,14.3,Commuter,Yes,3,No,Yes,198
LU100157,College of Health,Health Science,Graduate,3.96,21,20,2022-09-02,11.3,Off-campus,Yes,3,Yes (12h),,1225
LU100158,College of Health,Health Science,Junior,2.59,79,74,2022-01-15,12.9,On-campus,Yes,2,No,No,953
LU100159,College of Arts and Sciences,English,Senior,3.23,122,116,2021-09-05,6.1,Commuter,Yes,1,No,No,117
LU100160,College of Business,Supply Chain Management,First Year,3.21,21,20,2024-01-08,13.9,On-campus,Yes,4,No,No,175
LU100161,College of Business,Marketing,Senior,3.3,106,93,2021-08-12,2.0,Off-campus,Yes,2,No,No,14
LU100162,College of Health,Public Health,First Year,3.66,14,13,2024-01-10,8.9,Commuter,Yes,4,No,Yes,477
LU100163,College of Health,Public Health,Junior,3.02,80,73,2022-01-04,8.0,On-campus,No,2,No,,170
LU100164,College of Business,Economics,Junior,3.14,81,77,2022-09-25,8.8,On-campus,Partial,4,Yes (25h),No,101
LU100165,P.C. Rossin College of Engineering,Mechanical Engineering,Junior,2.96,85,81,2022-08-10,5.7,On-campus,Yes,2,No,No,16
LU100166,College of Health,Nursing,First Year,3.76,24,23,2024-08-26,2.9,Off-campus,Partial,4,No,Yes,77
LU100167,College of Business,Finance,Sophomore,2.94,51,43,2023-08-15,23.7,Off-campus,Partial,3,No,Yes,34
LU100168,College of Health,Nursing,First Year,3.49,13,12,2024-09-06,14.4,On-campus,Yes,1,No,No,153
LU100169,College of Health,Nursing,Senior,3.49,109,103,2021-09-11,23.9,On-campus,Yes,1,Yes (13h),No,26
LU100170,College of Education,Secondary Education,Senior,4.0,125,120,2021-09-24,20.4,Off-campus,Yes,1,Yes (8h),Yes,129
LU100171,P.C. Rossin College of Engineering,Mechanical Engineering,Graduate,3.44,23,19,2021-09-10,11.7,Commuter,Yes,2,No,No,2551
LU100172,College of Arts and Sciences,Psychology,First Year,2.69,21,18,2024-01-22,18.7,Off-campus,No,0,No,Yes,65
LU100173,College of Health,Public Health,First Year,3.38,23,21,2024-09-18,18.7,Off-campus,Yes,1,No,,64
LU100174,College of Arts and Sciences,Psychology,Sophomore,2.2,57,56,2023-01-17,20.0,On-campus,Yes,2,No,Yes,5
LU100175,College of Arts and Sciences,Physics,Senior,3.24,126,125,2021-09-03,21.2,On-campus,Partial,4,Yes (20h),,84
LU100176,College of Health,Nursing,First Year,3.15,24,20,2024-08-13,16.8,On-campus,Partial,1,Yes (22h),No,39
LU100177,College of Education,Elementary Education,Junior,2.99,90,81,2022-09-05,14.3,On-campus,Yes,1,No,No,453
LU100178,College of Arts and Sciences,Chemistry,Senior,2.87,117,99,2021-08-05,10.1,On-campus,Partial,3,Yes (18h),No,446
LU100179,College of Education,Secondary Education,Graduate,3.62,35,32,2022-01-04,8.7,Off-campus,No,1,Yes (19h),Yes,257
LU100180,College of Arts and Sciences,Political Science,First Year,3.31,13,12,2024-09-10,10.8,On-campus,Partial,2,No,No,14
LU100181,College of Arts and Sciences,Sociology,First Year,3.17,24,22,2024-08-10,13.6,Off-campus,No,1,No,Yes,46
LU100182,College of Education,Secondary Education,Junior,3.86,76,74,2022-09-11,23.8,Off-campus,Yes,1,Yes (22h),No,50
LU100183,College of Business,Economics,Junior,2.37,73,69,2022-08-02,2.0,Off-campus,Yes,1,Yes (25h),,144
LU100184,P.C. Rossin College of Engineering,Bioengineering,Junior,3.9,79,77,2022-09-24,8.0,Commuter,Yes,1,No,,42
LU100185,College of Business,Management,Sophomore,3.79,43,39,2023-08-07,19.3,Commuter,Yes,4,No,No,112
LU100186,P.C. Rossin College of Engineering,Mechanical Engineering,Graduate,3.35,35,32,2022-08-08,10.4,Off-campus,No,1,No,Yes,177
LU100187,P.C. Rossin College of Engineering,Computer Science,First Year,2.2,30,26,2024-01-26,22.8,Commuter,Partial,1,No,Yes,21
LU100188,College of Education,Elementary Education,Junior,4.0,79,71,2022-08-05,14.1,On-campus,Yes,2,Yes (22h),No,36
LU100189,P.C. Rossin College of Engineering,Computer Science,Sophomore,4.0,59,52,2023-08-06,14.3,On-campus,Yes,1,No,No,69
LU100190,P.C. Rossin College of Engineering,Mechanical Engineering,Senior,3.28,102,88,2021-01-14,8.5,On-campus,Yes,0,Yes (11h),No,173
LU100191,College of Arts and Sciences,English,Junior,3.65,76,73,2022-01-01,7.9,On-campus,No,2,Yes (21h),No,383
LU100192,College of Education,Elementary Education,Senior,3.43,117,107,2021-01-17,13.6,On-campus,Yes,2,No,No,30
LU100193,College of Arts and Sciences,History,Junior,3.0,73,70,2022-09-08,20.0,Off-campus,No,2,No,Yes,40
LU100194,College of Education,Secondary Education,Junior,3.39,72,61,2022-01-21,14.7,On-campus,Yes,2,No,No,297
LU100195,College of Health,Community Health,Junior,3.85,86,74,2022-01-07,23.7,Off-campus,Yes,4,No,No,95
LU100196,College of Business,Marketing,Junior,3.75,74,64,2022-01-07,8.8,Off-campus,No,3,Yes (7h),No,149
LU100197,College of Education,Special Education,Junior,3.2,88,78,2022-08-25,14.2,Off-campus,Yes,3,Yes (8h),No,44
LU100198,College of Education,Special Education,Junior,2.87,75,73,2022-08-01,2.6,Off-campus,No,2,Yes (22h),No,147
LU100199,College of Education,Special Education,Graduate,3.03,22,19,2021-09-10,18.3,On-campus,Yes,3,No,Yes,5
LU100200,College of Health,Community Health,Sophomore,3.65,45,40,2023-08-12,4.4,Off-campus,Yes,0,No,No,10
LU100201,College of Arts and Sciences,Mathematics,Sophomore,3.85,44,38,2023-09-03,4.9,Commuter,Yes,2,No,No,1497
LU100202,College of Business,Accounting,Junior,4.0,83,80,2022-09-13,8.0,On-campus,Yes,1,Yes (10h),No,69
LU100203,College of Education,Elementary Education,Junior,2.93,75,68,2022-08-08,13.5,Off-campus,Yes,0,Yes (17h),No,537
LU100204,College of Health,Health Science,Graduate,3.5,28,25,2024-08-14,6.9,Commuter,No,4,Yes (15h),No,95
LU100205,College of Business,Business Analytics,Junior,3.59,75,67,2022-08-10,14.1,Commuter,No,1,Yes (17h),No,39
LU100206,College of Education,Secondary Education,First Year,3.67,20,18,2024-09-25,5.1,Off-campus,Partial,2,No,Yes,154
LU100207,College of Health,Health Science,Junior,2.92,72,63,2022-01-21,13.3,On-campus,Yes,1,No,No,157
LU100208,College of Arts and Sciences,Physics,Sophomore,2.56,47,46,2023-08-23,20.1,Commuter,Yes,2,Yes (12h),No,61
LU100209,College of Education,Special Education,Sophomore,3.64,42,36,2023-08-26,14.1,On-campus,Yes,2,No,No,48
LU100210,College of Education,Elementary Education,Sophomore,3.75,56,50,2023-08-01,15.4,Off-campus,Yes,4,Yes (9h),Yes,733
LU100211,College of Arts and Sciences,Mathematics,Senior,3.49,104,102,2021-08-16,24.2,Off-campus,Yes,0,No,,11
LU100212,P.C. Rossin College of Engineering,Civil Engineering,Senior,2.89,103,97,2021-09-08,21.4,Off-campus,Yes,1,No,No,97
LU100213,College of Arts and Sciences,Sociology,Senior,2.97,110,97,2021-08-01,13.9,On-campus,Yes,0,Yes (13h),No,11
LU100214,College of Education,Elementary Education,Sophomore,3.25,45,40,2023-08-11,2.0,On-campus,Yes,2,No,Yes,30
LU100215,College of Education,Secondary Education,Junior,3.19,73,62,2022-08-12,20.5,Commuter,No,1,No,,12
LU100216,College of Arts and Sciences,English,Senior,3.66,126,111,2021-08-04,7.0,On-campus,No,2,No,No,45
LU100217,College of Arts and Sciences,Chemistry,First Year,3.09,24,22,2024-09-06,11.2,On-campus,Yes,0,Yes (5h),Yes,40
LU100218,P.C. Rossin College of Engineering,Industrial Engineering,First Year,2.73,13,11,2024-08-22,15.3,Off-campus,No,2,Yes (23h),,499
LU100219,College of Health,Health Science,Graduate,3.25,31,29,2021-08-08,10.9,Off-campus,No,3,No,Yes,575
LU100220,College of Arts and Sciences,Chemistry,Sophomore,2.9,52,45,2023-09-15,14.0,Off-campus,Partial,0,No,Yes,1921
LU100221,College of Education,Secondary Education,Senior,3.55,129,111,2021-08-28,18.1,Commuter,No,1,No,No,847
LU100222,College of Health,Community Health,Junior,3.21,84,82,2022-01-20,8.1,On-campus,Yes,1,Yes (16h),No,50
